Id;Band;Title;Cover;plays;Spotify;Albums;;;;;;;;
29;Beyoncé ; Love on Top;http://userserve-ak.last.fm/serve/126/87899379.png;2326363;0YyH76i4fYVfdxRSjRYqhp;http://www.lastfm.it//music/Beyonc%C3%A9/4;http://www.lastfm.it//music/Beyonc%C3%A9/4+(Deluxe);http://www.lastfm.it//music/Beyonc%C3%A9/Love+On+Top;http://www.lastfm.it//music/Beyonc%C3%A9/4+Intimate+Nights+With+Beyonc%C3%A9;;;;;
30;Snow Patrol ; I Won't Let You Go;http://userserve-ak.last.fm/serve/126/97184973.png;29852;3dEsLljB3DspRQfaIIkup8;0;;;;;;;;
31;Lily Allen ; Our Time;http://userserve-ak.last.fm/serve/126/99128811.png;182210;17Sh8yP6z5fRzNyzD7SPyJ;http://www.lastfm.it//music/Lily+Allen/Sheezus;http://www.lastfm.it//music/Lily+Allen/Our+Time;http://www.lastfm.it//music/Lily+Allen/Sheezus+(Special+Edition);;;;;;
32;Robin Thicke ; Blurred Lines;http://userserve-ak.last.fm/serve/126/90553053.png;2432942;0Rz1KXsP4bhGxs0ffySSSn;http://www.lastfm.it//music/Robin+Thicke/Blurred+Lines;http://www.lastfm.it//music/Various+Artists/NOW+That%27s+What+I+Call+Music,+Vol.+48;http://www.lastfm.it//music/Various+Artists/NRJ+Music+Awards+15Th+Edition;;;;;;
33;Bruno Mars ; Treasure;http://userserve-ak.last.fm/serve/126/92206107.png;1720313;008TwdGikuFPfFdxyPtKLi;http://www.lastfm.it//music/Bruno+Mars/Unorthodox+Jukebox;http://www.lastfm.it//music/Various+Artists/Now+That%27s+What+I+Call+Music!+48;http://www.lastfm.it//music/Various+Artists/NRJ+Summer+Hits+Only+2013;http://www.lastfm.it//music/Various+Artists/NRJ+Hits+2013,+Volume+2;;;;;
34;Foster the People ; Coming of Age;http://userserve-ak.last.fm/serve/126/96064521.png;576538;1yzbqrSF0vuaO7nuKYSd6f;http://www.lastfm.it//music/Foster+the+People/Supermodel;http://www.lastfm.it//music/Foster+the+People/Coming+of+Age;http://www.lastfm.it//music/Various+Artists/De+Afrekening+56;;;;;;
35;Lily Allen ; Hard Out Here;http://userserve-ak.last.fm/serve/126/94682661.png;845712;0rv8UkmOEO6SQPbnwnp91E;http://www.lastfm.it//music/Lily+Allen/Hard+Out+Here;http://www.lastfm.it//music/Lily+Allen/Sheezus;http://www.lastfm.it//music/Lily+Allen/Sheezus+(Special+Edition);http://www.lastfm.it//music/Various+Artists/Bravo+Hits+84;;;;;
36;Arctic Monkeys ; Why'd You Only Call Me When You're High?;http://userserve-ak.last.fm/serve/126/92743903.png;2653387;0DuBEpRfVhb0AdAfgBm3pj;http://www.lastfm.it//music/Arctic+Monkeys/Why%27d+You+Only+Call+Me+When+You%27re+High%3F;http://www.lastfm.it//music/Various+Artists/AlteR%252B+FM+Vol.+75;;;;;;;
37;Imagine Dragons ; Every Night;http://userserve-ak.last.fm/serve/126/87897873.png;866113;0CpQCN7nEz6tH6THwcJdzw;0;;;;;;;;
38;Rihanna ; Diamonds;http://userserve-ak.last.fm/serve/126/88046159.png;4754122;069Egvu4Bd6QMLMQQgWRNf;http://www.lastfm.it//music/Rihanna/Unapologetic;http://www.lastfm.it//music/Rihanna/Unapologetic+(Deluxe+Edition);http://www.lastfm.it//music/Rihanna/Greatest+Hits;http://www.lastfm.it//music/Boy+Bruynzeel/The+Video+Year+Mix+2012;;;;;
39;Kylie Minogue ; Into the Blue;http://userserve-ak.last.fm/serve/126/96438205.png;417886;12J8cpg7jfXlY8koGuzWRN;http://www.lastfm.it//music/Kylie+Minogue/Into+the+Blue;http://www.lastfm.it//music/Kylie+Minogue/Kiss+Me+Once;http://www.lastfm.it//music/Kylie+Minogue/Into+The+Blue+Remixes;http://www.lastfm.it//music/Kylie+Minogue/Into+the+Blue:+Remix+Bundle;;;;;
40;Arctic Monkeys ; Arabella;http://userserve-ak.last.fm/serve/126/92744747.png;2198579;2LdG9xtEzCho3jCr58M6cq;http://www.lastfm.it//music/Arctic+Monkeys/AM;http://www.lastfm.it//music/Arctic+Monkeys/iTunes+Festival:+London+2013;;;;;;;
41;Imagine Dragons ; Amsterdam;http://userserve-ak.last.fm/serve/126/87897873.png;1392373;05BGQ8qTOO9sr4yfdP6L0J;http://www.lastfm.it//music/Imagine+Dragons/Night+Visions;http://www.lastfm.it//music/Imagine+Dragons/Hear+Me+EP;http://www.lastfm.it//music/Imagine+Dragons/iTunes+Session;http://www.lastfm.it//music/Imagine+Dragons/Night+Visions+Live;;;;;
42;Shakira ; Can't Remember to Forget You (feat. Rihanna);http://userserve-ak.last.fm/serve/126/97145547.png;552901;261z7HYNMLbI2rf6Xjiy0M;0;;;;;;;;
43;Maroon 5 ; Love Somebody;http://userserve-ak.last.fm/serve/126/98970721.png;799592;0GOhLLD5JY0LwxaC5HJo0x;http://www.lastfm.it//music/Maroon+5/Overexposed;http://www.lastfm.it//music/Various+Artists/Now+That%27s+What+I+Call+Music!+48;http://www.lastfm.it//music/Various+Artists/NOW+That%27s+What+I+Call+Music,+Vol.+48;http://www.lastfm.it//music/Various+Artists/Radio+538+Hitzone+67;;;;;
44;Franz Ferdinand ; Evil Eye;http://userserve-ak.last.fm/serve/126/92128291.png;558527;0M8L9ZEwU4MFdXjapBVQwM;http://www.lastfm.it//music/Franz+Ferdinand/Right+Thoughts,+Right+Words,+Right+Action;http://www.lastfm.it//music/Franz+Ferdinand/Live+At+Forest+National+Club,+Brussels;http://www.lastfm.it//music/Franz+Ferdinand/Live+EP;http://www.lastfm.it//music/Franz+Ferdinand/Live+At+Roundhouse+London;;;;;
45;The Killers ; Mr. Brightside;http://userserve-ak.last.fm/serve/126/68101062.png;14396332;09ZQ5TmUG8TSL56n0knqrj;http://www.lastfm.it//music/The+Killers/Hot+Fuss;http://www.lastfm.it//music/The+Killers/Mr+Brightside;http://www.lastfm.it//music/The+Killers/Direct+Hits;http://www.lastfm.it//music/The+Killers/Demo;;;;;
46;Pixie Lott ; Nasty;http://userserve-ak.last.fm/serve/126/96035605.png;81595;6VkJBqPYBr850rQ8synXAu;http://www.lastfm.it//music/Pixie+Lott/Nasty;http://www.lastfm.it//music/Various+Artists/Now+That%E2%80%99s+What+I+Call+Music!+87;;;;;;;
47;Jake Bugg ; Two Fingers;http://userserve-ak.last.fm/serve/126/82993237.png;1017625;4BD4jIwUWV1pfs27lbEd0M;http://www.lastfm.it//music/Jake+Bugg/Jake+Bugg;http://www.lastfm.it//music/Jake+Bugg/Two+Fingers+EP;http://www.lastfm.it//music/Jake+Bugg/iTunes+Festival:+London+2012;http://www.lastfm.it//music/Various+Artists/BRIT+Awards+2013;;;;;
48;Alicia Keys ; Girl on Fire;http://userserve-ak.last.fm/serve/126/91023955.png;915865;0EFG5lfyvbJwd9aXs0Zf8b;http://www.lastfm.it//music/Alicia+Keys/VH1+Storytellers;http://www.lastfm.it//music/Boy+Bruynzeel/The+Video+Year+Mix+2012;http://www.lastfm.it//music/Alicia+Keys/Girl+On+Fire+(Remixes);http://www.lastfm.it//music/+noredirect/Various/Pure...+Woman;;;;;
49;The Killers ; All These Things That I've Done;http://userserve-ak.last.fm/serve/126/68101062.png;7280689;07ygRsnqBqNFfdpmH3BeOV;http://www.lastfm.it//music/The+Killers/Hot+Fuss;http://www.lastfm.it//music/The+Killers/2004-11-06:+Columbia+Club,+Berlin,+Germany;http://www.lastfm.it//music/The+Killers/Direct+Hits;http://www.lastfm.it//music/The+Killers/Hot+Fuss:+Limited+Edition;;;;;
50;Shakira ; Empire;http://userserve-ak.last.fm/serve/126/97145547.png;360924;1SammGTDwEzeIP73lKKpAk;http://www.lastfm.it//music/Shakira/Shakira.+(Deluxe+Version);http://www.lastfm.it//music/Shakira/Shakira.;http://www.lastfm.it//music/Shakira/Empire;;;;;;
51;Queens of the Stone Age ; I Sat by the Ocean;http://userserve-ak.last.fm/serve/126/88473229.png;1198455;7oXRMDUzBPekkLRTJhSGvC;http://www.lastfm.it//music/Queens+of+the+Stone+Age/...Like+Clockwork;http://www.lastfm.it//music/Queens+of+the+Stone+Age/%E2%80%A6Like+Clockwork;;;;;;;
52;The Fray ; Our Last Days;http://userserve-ak.last.fm/serve/126/94901429.png;28311;2iinFRrDMcb1AHVfABC5DV;0;;;;;;;;
53;Snow Patrol ; In the End;http://userserve-ak.last.fm/serve/126/73067830.png;247399;2hbvCWC0yPgLTtPqgV50XN;http://www.lastfm.it//music/Snow+Patrol/Fallen+Empires;http://www.lastfm.it//music/Snow+Patrol/In+The+End;http://www.lastfm.it//music/Various+Artists/Life+Is+Music+2012.1;;;;;;
54;Imagine Dragons ; It's Time;http://userserve-ak.last.fm/serve/126/87897873.png;4102793;06IwlytoPitQ1HEpHfGpG2;http://www.lastfm.it//music/Imagine+Dragons/Night+Visions;http://www.lastfm.it//music/Imagine+Dragons/Continued+Silence+EP;http://www.lastfm.it//music/Imagine+Dragons/iTunes+Session;http://www.lastfm.it//music/Imagine+Dragons/Live+At+Independent+Records;;;;;
55;Queens of the Stone Age ; If I Had a Tail;http://userserve-ak.last.fm/serve/126/88473229.png;1036771;0wmaGiDKtKaRf7G8nBfNsQ;http://www.lastfm.it//music/Queens+of+the+Stone+Age/...Like+Clockwork;http://www.lastfm.it//music/Queens+of+the+Stone+Age/%E2%80%A6Like+Clockwork;http://www.lastfm.it//music/Various+Artists/Triple+J:+Hottest+100,+Volume+21;http://www.lastfm.it//music/Various+Artists/De+Afrekening+56;;;;;
