Id;Title;Front_cover;Genre;Platforms;Developer;Games_related;;;;;;;;
35;Dragon Age: Inquisition;http://assets1.ignimgs.com/2014/04/21/dragonageinquisitionboxjpg-a29905_160h.jpg;RPG;PC PS3 Xbox One PS4;Electronic;Guild Wars 2;WildStar;The Witcher 3: Wild Hunt;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
36;Murdered: Soul Suspect;http://assets2.ignimgs.com/2014/04/01/murderedsoulsuspectps3jpg-e320d4_160h.jpg;Adventure;PS3 Xbox One PC PS4;Square;Beyond: Two Souls;The Last Guardian;The Evil Within;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster;;;
37;Driveclub;http://assets2.ignimgs.com/2013/08/21/driveclubps401jpg-e93d8d_160h.jpg;Racing;PS4;Evolution;Project CARS;Jet Car Stunts HD;Switch Galaxy Ultra;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2;;;
38;A Boy and His Blob: Trouble on Blobolonia;http://media.gamestats.com/gg/image/object/006/006910/boyblob1boxart_160h.jpg;Puzzle;NES Wii;Jaleco;Kickle Cubicle;Tetris;Lode Runner;Qix;Double Dragon III: The Sacred Stones;Bomberman;The Legend of Zelda;Super Mario Bros. 3;Super Mario Bros.
39;Sniper Elite III;http://assets1.ignimgs.com/2014/03/06/sniper-elite-3-us-rp-ps4jpg-df1197_160h.jpg;Shooter;PS4 Xbox One PS3 PC;505;Tom Clancy's The Division;Far Cry 4;Wolfenstein: The New Order;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2;;;
40;A Brief History of the World;;Board;iPhone;Codito;Catan;Monopoly: Here & Now -- World Edition;Battle Chess (2011);Disney Infinity: Marvel Super Heroes -- Toy Box;Tales from the Borderlands;Modern Combat 5;;;
41;Daylight;http://assets2.ignimgs.com/2013/06/20/daylightps4-dljpg-50edd0_160h.jpg;Adventure;PS4 PC;Atlus;Murdered: Soul Suspect;The Evil Within;Among the Sleep;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2;;;
42;Call of Duty: Advanced Warfare;http://assets2.ignimgs.com/2014/05/06/call-of-duty-advanced-warfare-rp-us-x360jpg-a2a0b4_160h.jpg;Shooter;Xbox 360 Xbox One PS3 PS4;Activision;Borderlands 2;Halo 4;Gears of War: Judgment;Watch Dogs;Diablo III;Borderlands 2;;;
43;New Super Mario Bros. 2;http://assets1.ignimgs.com/2013/08/01/new-super-mario-bros-2-usesrbn3ds-finverjpg-e93440_160h.jpg;Platformer;3DS;Nintendo;Luigi's Mansion: Dark Moon;Super Mario 3D Land;Kirby: Triple Deluxe;The Legend of Zelda: A Link Between Worlds;Bravely Default;Bravely Default;;;
44;A Brief Tryst;;Strategy;PC;H.E.P.;StarCraft II: Heart of the Swarm;Total War: Rome II;XCOM: Enemy Unknown;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
45;The Evil Within;http://assets2.ignimgs.com/2014/04/14/the-evil-within-us-rp-ps4jpg-e32af6_160h.jpg;Adventure;PS4 Xbox 360 PS3 PC;Bethesda;Daylight;Murdered: Soul Suspect;Among the Sleep;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2;;;
46;A Bug's Life;http://pcmedia.ign.com/pc/image/object/780/780445/653013boxart_160h.jpg;Adventure;PC N64 PS GBC PSP PS3;Disney;Thief;Daylight;Murdered: Soul Suspect;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
47;Among the Sleep;http://assets2.ignimgs.com/2014/05/29/among-the-sleep-01jpg-dcfe2f_160h.jpg;Adventure;PS4 Mac PC;Krillbite;Daylight;Murdered: Soul Suspect;The Evil Within;The Last of Us: Remastered;Infamous: Second Son;The Amazing Spider-Man 2;;;
48;Luigi's Mansion: Dark Moon;http://media.ign.com/games/image/object/110/110795/luigisdarkmansionboxart_160h.jpg;Platformer;3DS;Nintendo;New Super Mario Bros. 2;Super Mario 3D Land;Kirby: Triple Deluxe;The Legend of Zelda: A Link Between Worlds;New Super Mario Bros. 2;Bravely Default;;;
49;A Bug's Life;http://n64media.ign.com/n64/image/object/011/011211/600005boxart_160h.jpg;Platformer;N64 PC PS GBC PSP PS3;Activision;Super Mario 64;Donkey Kong 64;Banjo-Kazooie;The Legend of Zelda: Ocarina of Time;The Legend of Zelda: Majora's Mask;Super Mario 64;;;
50;Watch Dogs;http://assets1.ignimgs.com/2013/10/09/watchdogs-us-esrb-x360jpg-8840bb_160h.jpg;Action;Xbox 360 PS4 PC PS3 Wii U;Ubisoft;Diablo III;Assassin's Creed III;Resident Evil 6;Diablo III;Borderlands 2;Halo 4;;;
51;Alien: Isolation;http://assets2.ignimgs.com/2014/03/31/alien-isolation-generaljpg-0a5ab5_160h.jpg;Action;PC PS3 PS4 Xbox 360;SEGA;Dark Souls II;Assassin's Creed III;Bound by Flame;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
52;Super Mario 3D Land;http://dsmedia.ign.com/ds/image/object/099/099437/3DSSuperMario3DLandboxart_160h.jpg;Platformer;3DS;Nintendo;New Super Mario Bros. 2;Luigi's Mansion: Dark Moon;Kirby: Triple Deluxe;The Legend of Zelda: A Link Between Worlds;New Super Mario Bros. 2;Bravely Default;;;
53;A Bug's Life;http://psxmedia.ign.com/psx/image/object/010/010232/600065boxart_160h.jpg;Platformer;PS PC N64 GBC PSP PS3;Sony;Crash Bandicoot: Warped;Crash Bandicoot;Crash Bandicoot 2: Cortex Strikes Back;Final Fantasy VII;Final Fantasy VIII;Metal Gear Solid;;;
54;Diablo III;http://assets1.ignimgs.com/2013/07/30/diabloiii3601jpg-881f96_160h.jpg;Action;Xbox 360 PS3 PC Mac;Blizzard;Watch Dogs;Assassin's Creed III;Resident Evil 6;Borderlands 2;Bound by Flame;Fable: The Journey;Watch Dogs;Borderlands 2;Halo 4
