Id;Title;Front_cover;Genre;Platforms;Developer;Games_related;;;;;;;;
6043;Street Fighter Alpha: Warriors' Dreams;http://pocketmedia.ign.com/pocket/image/object/012/012036/603696boxart_160h.jpg;Fighting;GBC Saturn Arcade Cell PSP PC PS3 Cell;Capcom;Mortal Kombat 4;Shrek: Fairy Tale FreakDown;X-Men: Mutant Academy;Pokemon Silver Version;Pokemon Gold Version;Pokemon Crystal Version;;;
6044;Sex Vixens From Space;;Other;C64 ST PC Amiga;Free;Sea Speller;Alphabet Zoo;Where In Time Is Carmen Sandiego?;Archon: The Light and the Dark;James Bond 007;Ghetto Blaster;;;
6045;Sonic the Hedgehog 4: Episode I;http://media.ign.com/games/image/object/031/031451/Sonic-the-Hedgehog-4-EP-1__vB1_XBLAboxart_160h.jpg;Platformer;Xbox 360 Android Ouya WinPhone iPhone Wii;SEGA;Dust: An Elysian Tail;Spelunky;Fez;Watch Dogs;Diablo III;Borderlands 2;;;
6046;Star Wars Rogue Squadron II: Rogue Leader;http://pspmedia.ign.com/psp/image/object/015/015337/Star-Wars-Rogue-Squadron-II-Rogue-Leader_US_ESRBboxart_160h.jpg;Flight;GCN;LucasArts;Pilotwings;Freaky Flyers;Zero Fighter: War Report;Mario Kart: Double Dash!!;Mario Superstar Baseball;Kirby Air Ride;The Legend of Zelda: The Wind Waker;Super Smash Bros. Melee;Super Mario Sunshine
6047;Sea Speller;;Other;C64;Fisher-Price;Sex Vixens From Space;Alphabet Zoo;Where In Time Is Carmen Sandiego?;Archon: The Light and the Dark;James Bond 007;Ghetto Blaster;;;
6048;Shrek: Fairy Tale FreakDown;http://pocketmedia.ign.com/pocket/image/object/016/016114/608046boxart_160h.jpg;Fighting;GBC;TDK;Mortal Kombat 4;Street Fighter Alpha: Warriors' Dreams;X-Men: Mutant Academy;Pokemon Silver Version;Pokemon Gold Version;Pokemon Crystal Version;;;
6049;Thexder;;Action;NES PC Mac MSX2 IIGS;Enix;The Legend of Zelda;DuckTales;Metroid;The Legend of Zelda;Teenage Mutant Ninja Turtles [1989];Zelda II: The Adventure of Link;The Legend of Zelda;Super Mario Bros. 3;Super Mario Bros.
6050;Sonic the Hedgehog 4: Episode I;http://media.ign.com/games/image/object/031/031345/Sonic-the-Hedgehog-4-EP-1__vB_WIIWAREboxart_160h.jpg;Platformer;Wii Android Ouya WinPhone iPhone Xbox 360;SEGA;Kirby's Dream Collection: Special Edition;Super Mario Galaxy 2;New Super Mario Bros. Wii;The Last Story;The Legend of Zelda: Skyward Sword;The Legend of Zelda: Twilight Princess;;;
6051;Alphabet Zoo;;Other;C64 Coleco;Spinnaker;Sex Vixens From Space;Sea Speller;Where In Time Is Carmen Sandiego?;Archon: The Light and the Dark;James Bond 007;Ghetto Blaster;;;
6052;Mario Golf: Toadstool Tour;http://cubemedia.ign.com/cube/image/object/478/478865/644175boxart_160h.jpg;Sports;GCN;Nintendo;BMX XXX;Mario Superstar Baseball;Madden NFL 06;Mario Kart: Double Dash!!;Mario Superstar Baseball;Kirby Air Ride;The Legend of Zelda: The Wind Waker;Super Smash Bros. Melee;Super Mario Sunshine
6053;Ikari Warriors (Encore Edition);;Action;CPC;Elite;Death Stalker;1942;Metro-Cross;The Vindicator;Death Stalker;1942;;;
6054;B-Trix Deluxe;http://media.gamestats.com/gg/image/object/741/741375/Btrix_wirelessBoxboxart_160h.jpg;Puzzle;Palm Cell PDA;GamAzura;Frutakia;Candy Train;Zuma;Austin Powers Pinball;Frutakia;Shadowgate Classic;;;
6055;Sonic the Hedgehog 4: Episode II;http://comicsmedia.ign.com/comics/image/object/125/125727/Sonic-the-Hedgehog-4-EP-2_XBLAboxart_160h.jpg;Platformer;Xbox 360 Ouya iPhone PC WinPhone Android;SEGA;Dust: An Elysian Tail;Spelunky;Fez;Watch Dogs;Diablo III;Borderlands 2;;;
6056;Lands of Shadowgate;;RPG;Palm PDA Cell;Infinite;Shadowgate Classic;Legacy: The Legend;Legacy: Revenge;Austin Powers Pinball;Frutakia;Shadowgate Classic;;;
6057;Kirby's Air Ride;;Racing;N64 GCN;Nintendo;Mario Kart 64;Diddy Kong Racing;F-Zero X;The Legend of Zelda: Ocarina of Time;The Legend of Zelda: Majora's Mask;Super Mario 64;;;
6058;Scooby-Doo and Scrappy-Doo;;Platformer;Amiga ZX CPC;Hi-Tec;Ugh!;Trolls;Rick Dangerous 2;The Killing Game Show;Monty Python's Flying Circus: The Computer Game;Midwinter;;;
6059;Sonic the Hedgehog 4: Episode II;http://media.ign.com/games/image/object/125/125729/Sonic-the-Hedgehog-4-EP-2_vB_iOSboxart_160h.jpg;Platformer;iPhone Ouya Xbox 360 PC WinPhone Android;SEGA;Jetpack Joyride;Doodle Jump;Pitfall;Disney Infinity: Marvel Super Heroes -- Toy Box;Tales from the Borderlands;Modern Combat 5;;;
6060;Penguin Land;;Puzzle;SG-1000 MSX2 GB;SEGA;Champion Boxing;Orguss;Golgo 13;;;;;;
6061;Scooby-Doo and Scrappy-Doo;;Platformer;CPC ZX Amiga;Hi-Tec;Fantasy World Dizzy;Prehistorik 2;Spellbound Dizzy;The Vindicator;Death Stalker;1942;;;
6062;Where In Time Is Carmen Sandiego?;http://codesmedia.ign.com/codes/image/object/679/679688/606105boxart_160h.jpg;Other;SNES Apple-II Gen PC PC NES Amiga;Electronic;Alcahest;Exertainment Mountain Bike Rally;Math Blaster: Episode 1;Super Mario World;The Legend of Zelda: A Link to the Past;Super Mario Kart;;;
6063;Penguin Land;;Action;GB MSX2 SG-1000;Pony;The Legend of Zelda: Link's Awakening;Metroid II: Return of Samus;Home Alone;Pokemon Blue Version;Pokemon Red Version;Pokemon Yellow: Special Pikachu Edition;;;
6064;Sonic the Hedgehog 4: Episode II;http://comicsmedia.ign.com/comics/image/object/127/127380/Sonic-the-Hedgehog-4-EP-2_PCDLboxart_160h.jpg;Platformer;PC Ouya Xbox 360 iPhone WinPhone Android;SEGA;Limbo;1001 Spikes;Guacamelee!;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
6065;Candy Train;;Puzzle;PDA Palm Web;PopCap;Toki Tori;Pocket Aargon;Merriam-Webster Crossword Puzzles and Word Challenges;Toki Tori;Explode Arena;EverQuest for Pocket PC: War on Faydwer;;;
6066;The Great Giana Sisters;;Platformer;Amiga ZX NDS C64 Android CPC;Rainbow;Ugh!;Trolls;Rick Dangerous 2;The Killing Game Show;Monty Python's Flying Circus: The Computer Game;Midwinter;;;
6067;Merriam-Webster Crossword Puzzles and Word Challenges;;Puzzle;PDA Palm;Mobile;Toki Tori;Pocket Aargon;Complex;Toki Tori;Explode Arena;EverQuest for Pocket PC: War on Faydwer;;;
6068;Arcade Legends Tetris;http://media.gamestats.com/gg/image/playtv_tetrisboxart_160h.jpg;Puzzle;TVgame Arcade;Radica;Bejeweled Deluxe;Jakks TV Games -- EA Sports;PlayTV Legends: SEGA Genesis Volume 2;The Amazing Spider-Man in the Villain Round-up;;;;;
6069;Giana Sisters;http://media.ign.com/games/image/object/143/14305002/Giana-Sisters_US_ESRBboxart_160h.jpg;Platformer;NDS Amiga ZX C64 Android CPC;Destineer;New Super Mario Bros.;Super Mario 64 DS;Castlevania: Order of Ecclesia;Pokemon Black Version 2;Pokemon Conquest;Pokemon White Version 2;;;
6070;Candy Train;;Puzzle;Web Palm PDA;PopCap;Angry Birds Friends;Scrabble Cubes;Words With Friends;Offensive Combat;Battle Pirates;Outernauts;;;
6071;The Great Giana Sisters;http://media.gamestats.com/gg/image/object/719/719031/greatgiana_c64ukboxboxart_160h.jpg;Platformer;C64 Amiga ZX NDS Android CPC;Rainbow;Miner 2049er;Ultimate Wizard;A.M.C.: Astro Marine Corps;Archon: The Light and the Dark;James Bond 007;Ghetto Blaster;;;
6072;Explode Arena;http://media.gamestats.com/gg/image/object/769/769363/explodearena-BOX-2006boxart_160h.jpg;Action;PDA Cell Palm;Infinite;Street Duel: Underground Racing;Krypton Egg;Crystal Quest;Toki Tori;EverQuest for Pocket PC: War on Faydwer;Pocket Aargon;;;
6073;Madden NFL 2001;http://psxmedia.ign.com/psx/image/object/014/014648/601508boxart_160h.jpg;Sports;PS GBC N64 PC;Electronic;NCAA Football 2001;NHL 2001;Tony Hawk's Pro Skater 2;Final Fantasy VII;Final Fantasy VIII;Metal Gear Solid;;;
6074;Shadowgate;http://media.ign.com/games/image/object/006/006685/shadow_gate_nesboxart_160h.jpg;Adventure;NES Apple-II Amiga PC CD-i;Kemco;StarTropics;Maniac Mansion;Solomon's Key;The Legend of Zelda;Super Mario Bros. 3;Super Mario Bros.;;;
6075;Giana Sisters;;Platformer;Android Amiga ZX NDS ST CPC;Spellbound;League of Evil;Daxter;Doodle Jump;Magic 2015 -- Duels of the Planewalkers;Oddworld: Stranger's Wrath HD;Fantasica;;;
6076;EverQuest for Pocket PC: War on Faydwer;;RPG;PDA;Sony;Shadowgate Classic;Lands of Shadowgate;Legacy;Toki Tori;Explode Arena;Pocket Aargon;;;
6077;StarTropics;http://media.gamestats.com/gg/image/object/007/007184/StarTropocs_NESBOX_200502boxart_160h.jpg;Adventure;NES Wii;Nintendo;Shadowgate;Maniac Mansion;Solomon's Key;The Legend of Zelda;Super Mario Bros. 3;Super Mario Bros.;;;
6078;Asphalt: Urban GT 2;;Racing;Cell NNG NDS PSP;Gameloft;Raging Thunder 2;Tank Racer;IHRA Drag Racing Multiplayer;Dragon Quest X: The Five Awakening Races Online;Before Crisis: Final Fantasy VII;TNA Wrestling;;;
6079;The Great Giana Sisters;;Platformer;CPC Amiga ZX NDS ST Android;Rainbow;Fantasy World Dizzy;Prehistorik 2;Spellbound Dizzy;The Vindicator;Death Stalker;1942;;;
6080;Batman Forever: The Arcade Game;http://codesmedia.ign.com/codes/image/object/000/000364/603311boxart_160h.jpg;Action;Saturn SNES RZone Pinball GG GB Arcade Gen PS;Acclaim;Mobile Suit Gundam Side Story: The Blue Destiny;Virtua Cop 2;Burning Rangers;Need for Speed;Sonic The Fighters;Mobile Suit Gundam Side Story: The Blue Destiny;;;
6081;Street Fighter III: Second Impact -- Giant Attack;;Fighting;Arcade DC;Capcom;Tekken 6;Tekken Tag Tournament 2;Super Street Fighter IV;Tekken 6;1942;Tekken Tag Tournament 2;;;
6082;Asphalt: Urban GT 2;http://dsmedia.ign.com/ds/image/object/849/849747/Asphalt2UrbanGTboxart_160h.jpg;Racing;NDS NNG Cell PSP;Ubisoft;Mario Kart DS;Pokemon Dash!;Diddy Kong Racing DS;Pokemon Black Version 2;Pokemon Conquest;Pokemon White Version 2;;;
6083;Maniac Mansion;http://media.ign.com/games/image/object/006/006007/Maniac-Mansion-1_NES_USboxart_160h.jpg;Adventure;NES PC C64 Apple-II ST;Jaleco;Shadowgate;StarTropics;Solomon's Key;The Legend of Zelda;Super Mario Bros. 3;Super Mario Bros.;;;
6084;Batman Forever;http://codesmedia.ign.com/codes/image/object/000/000236/603820boxart_160h.jpg;Action;SNES Saturn RZone Pinball GG GB Arcade Gen PS;Acclaim;The Legend of Zelda: A Link to the Past;Chrono Trigger;Super Metroid;Super Mario World;The Legend of Zelda: A Link to the Past;Super Mario Kart;;;
6085;Dismembra;;Other;Web;Spooey;Taboo Snaps;Nymphobot;Perplex City;Offensive Combat;Battle Pirates;Outernauts;;;
6086;Zuma;;Puzzle;Web Palm PS3 PC Cell Xbox PSP PDA iPod Xbox 360;PopCap;Angry Birds Friends;Scrabble Cubes;Words With Friends;Offensive Combat;Battle Pirates;Outernauts;;;
6087;Asphalt: Urban GT 2;;Racing;PSP NNG Cell NDS;Virtuos;Twisted Metal: Head-On;Need for Speed Most Wanted 5-1-0;WipEout Pure;Kingdom Hearts: Birth by Sleep;Final Fantasy Type-0;Metal Gear Solid: Peace Walker;;;
6088;Perplex City;;Other;Web;Mind;Taboo Snaps;Nymphobot;Dismembra;Cogno's Challenge;Speed Strip;Speed Strip Add-On #1;Offensive Combat;Battle Pirates;Outernauts
6089;Batman Forever;;Pinball;Pinball Saturn SNES RZone GG GB Arcade Gen PS;Williams;Star Wars;Monster Bash;Starship Troopers;Star Wars;Monster Bash;Starship Troopers;;;
6090;Zuma Web Connect;;Puzzle;Web Palm PS3 PC Cell Xbox PSP PDA iPod Xbox 360;PopCap;Angry Birds Friends;Scrabble Cubes;Words With Friends;Offensive Combat;Battle Pirates;Outernauts;;;
6091;Bejeweled Deluxe (Jewel Case Edition);;Puzzle;PC;PopCap;Valiant Hearts: The Great War;The Witness;Never Alone;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
6091;Batman Forever;;Action;GG Saturn SNES RZone PC GB Arcade Gen PS;Acclaim;Donald Duck: The Lucky Dime Caper;Star Wars;Psychic World;Mortal Kombat II;Crystal Warriors;Mortal Kombat [1993];;;
6093;Winter Games;;Sports;CPC NES 7800 400/800 Cell ST 2600 C64;;California Games;Gary Lineker's Superstar Soccer;Cup Football;The Vindicator;Death Stalker;1942;;;
6094;Zuma;http://media.ign.com/games/image/object/143/14318917/ZUMA_PSNboxart_160h.jpg;Puzzle;PS3 Web Palm Web Cell Xbox PSP PDA iPod Xbox 360;Sony;Valiant Hearts: The Great War;The Unfinished Swan;Quantum Conundrum;Grand Theft Auto V;PlayStation All-Stars Battle Royale;Final Fantasy X / X-2 HD Remaster;;;
6095;Batman Forever;http://pocketmedia.ign.com/pocket/image/object/011/011503/603415boxart_160h.jpg;Platformer;GB Saturn SNES RZone PC GG Arcade Gen PS;Acclaim;Super Mario Land 2;Wario Land: Super Mario Land 3;Kirby's Dream Land;Pokemon Blue Version;Pokemon Red Version;Pokemon Yellow: Special Pikachu Edition;;;
6096;Plus Plum 2;;Puzzle;Xbox PS2;Takuyo;Neighbors from Hell;Super Bubble Pop;Super Collapse! II;Halo 2;Halo: Combat Evolved;Fable;;;
6096;Galaga;http://xbox360media.ign.com/xbox360/image/object/882/882410/Galaga_dl2010_Wii-VirtualConsoleboxart_160h.jpg;Shooter;3DS NES GBC Wii GB Wii U Xbox 360 Wii 7800 2600 Arcade;Bandai;E.X. Troopers;Touch Battle Tank 3D;Gradius;The Legend of Zelda: A Link Between Worlds;New Super Mario Bros. 2;Bravely Default;;;
6098;Zuma;;Puzzle;Cell Web Palm Web PC Xbox PSP PDA iPod Xbox 360;Sorrent;3D Tower Bloxx Deluxe;Pyramid Bloxx;XXX Puzzle;Dragon Quest X: The Five Awakening Races Online;Before Crisis: Final Fantasy VII;TNA Wrestling;;;
6099;Neighbors from Hell;;Puzzle;Xbox PC GCN;JoWooD;Plus Plum 2;Super Bubble Pop;Super Collapse! II;Halo 2;Halo: Combat Evolved;Fable;;;
6100;Batman Forever: The Arcade Game;;Action;Arcade Saturn SNES RZone PC GG GB Gen PS;Acclaim;Dynasty Wars;Space Invaders;Ms. Pac-Man;Tekken 6;1942;Tekken Tag Tournament 2;;;
6101;Ring King;http://media.ign.com/games/image/object/007/007434/ring_king_nes_01boxart_160h.jpg;Action;NES LCD;Data;The Legend of Zelda;DuckTales;Metroid;The Legend of Zelda;Super Mario Bros. 3;Super Mario Bros.;;;
6102;Super Bubble Pop;http://media.gamestats.com/gg/image/superbubblepop_xboxxboxboxart_160h.jpg;Puzzle;Xbox GCN Web GBA;Jaleco;Plus Plum 2;Neighbors from Hell;Super Collapse! II;Halo 2;Halo: Combat Evolved;Fable;;;
6103;Zuma Deluxe;http://xbox360media.ign.com/xbox360/image/object/902/902266/XBL_zumadeluxeboxart_160h.jpg;Action;Xbox Web Palm Web PC Cell PSP PDA iPod Xbox 360;PopCap;Fable;Grand Theft Auto: San Andreas;Beyond Good & Evil;Halo 2;Halo: Combat Evolved;Fable;;;
6104;Batman Forever;http://codesmedia.ign.com/codes/image/object/006/006205/604994boxart_160h.jpg;Action;Gen Saturn SNES RZone PC GG GB Arcade PS;Acclaim;Streets of Rage 3;Streets of Rage;Desert Strike: Return to the Gulf;Sonic the Hedgehog 2;Shining Force II;Sonic the Hedgehog [1991];;;
6105;SSX Tricky;;Sports;TVgame GBA PS2 GCN;Radica;PlayTV Baseball 3;PlayTV EA Madden Football;Triple Header Sports;Jakks TV Games -- EA Sports;PlayTV Legends: SEGA Genesis Volume 2;The Amazing Spider-Man in the Villain Round-up;;;
6106;Football - 4735;;Sports;2600;Cooper;Decathlon;Decathlon;RealSports Soccer;Adventure;Logic Master;Halo 2600;;;
6107;Batman Forever: The Arcade Game;http://psxmedia.ign.com/psx/image/object/000/000318/600972boxart_160h.jpg;Action;PS Saturn SNES RZone PC GG GB Arcade Gen;Acclaim;Metal Gear Solid;Resident Evil 3: Nemesis;Resident Evil 2;Final Fantasy VII;Final Fantasy VIII;Metal Gear Solid;;;
6108;Zuma PSP;http://media.ign.com/games/image/object/143/14318917/ZUMA_PSNboxart_160h.jpg;Puzzle;PSP Web Palm Web PC Cell Xbox PDA iPod Xbox 360;Sony;Angry Birds;LocoRoco 2;Sudoku (EA);Kingdom Hearts: Birth by Sleep;Final Fantasy Type-0;Metal Gear Solid: Peace Walker;;;
6109;Decathlon (Activision Version);;Sports;2600;Activision;Football - 4735;Decathlon;RealSports Soccer;Adventure;Logic Master;Halo 2600;;;
6110;SSX Tricky;http://media.gamestats.com/gg/image/SSXTricky_GBAboxboxart_160h.jpg;Sports;GBA TVgame PS2 GCN;Electronic;Mario Golf: Advance Tour;Shaun Palmer's Pro Snowboarder;Wade Hixton's Counter Punch;Pokemon Emerald Version;Pokemon Ruby Version;Pokemon FireRed Version;;;
6111;Tony Hawk's Underground;http://pocketmedia.ign.com/pocket/image/tonyhawk_boxart_orgboxart_160h.jpg;Sports;GBA Cell Xbox PC PS2;Activision;Mario Golf: Advance Tour;Shaun Palmer's Pro Snowboarder;Wade Hixton's Counter Punch;Pokemon Emerald Version;Pokemon Ruby Version;Pokemon FireRed Version;;;
6112;Decathlon (Polyvox Version);;Sports;2600;Polyvox;Decathlon;Football - 4735;RealSports Soccer;Adventure;Logic Master;Halo 2600;;;
6113;Zuma;;Puzzle;PDA Web Palm Web PC Cell Xbox PSP iPod Xbox 360;PopCap;Toki Tori;Pocket Aargon;Merriam-Webster Crossword Puzzles and Word Challenges;Toki Tori;Explode Arena;EverQuest for Pocket PC: War on Faydwer;;;
6114;SSX Tricky;http://media.gamestats.com/gg/image/SSXTricky_BOX_CUBEboxart_160h.jpg;Sports;GCN TVgame GBA PS2;Electronic;BMX XXX;Mario Superstar Baseball;Madden NFL 06;The Legend of Zelda: The Wind Waker;Super Smash Bros. Melee;Super Mario Sunshine;;;
6115;4th & Inches;;Sports;C64;Accolade;WWF WrestleMania;Star League Baseball;European Champions;Archon: The Light and the Dark;James Bond 007;Ghetto Blaster;;;
6116;Hitman HD Trilogy;http://media.ign.com/games/image/object/150/150115/Hitman-HD-Trilogy_US_ESRB_X360boxart_160h.jpg;Compilation;Xbox 360 PS2;Square;The Orange Box;Grand Theft Auto: Episodes from Liberty City;Street Fighter: 25th Anniversary Collector's Set;Watch Dogs;Diablo III;Borderlands 2;;;
6117;Yahtzee (2008);;Board;Web iPod;Electronic;Backgammon;Reversi;Hasbro Checkers;Offensive Combat;Battle Pirates;Outernauts;;;
6118;Zuma;;Puzzle;iPod Web Palm Web PC Cell Xbox PSP PDA Xbox 360;PopCap;Star Trigon;Bubble Bash;Bejeweled;Star Trigon;Tiger Woods PGA Tour;Pentari: First Light;;;
6119;Dragon Ball Z Trilogy;http://xbox360media.ign.com/xbox360/image/object/142/14275120/dragon_ball_trilogy1boxart_160h.jpg;Compilation;PS2;Atari;Hitman Trilogy;Metal Gear Solid: The Essential Collection;Resident Evil: The Essentials;God of War;Kingdom Hearts;Grand Theft Auto: San Andreas;;;
6120;WWF WrestleMania;;Sports;C64 Amiga ZX ST PC;Ocean;4th & Inches;Star League Baseball;European Champions;Archon: The Light and the Dark;James Bond 007;Ghetto Blaster;;;
6121;Toki Tori;http://assets1.ignimgs.com/2013/12/16/toki-tori-buttonjpg-e97306_160h.jpg;Puzzle;PDA 3DS NDS Wii PS3 Cell Mac GBC iPhone;Aim;Pocket Aargon;Merriam-Webster Crossword Puzzles and Word Challenges;Complex;Speedball 2: Brutal Deluxe;Explode Arena;EverQuest for Pocket PC: War on Faydwer;Pocket Aargon;;
6122;NBA Live 2005;http://media.gamestats.com/gg/image/nbalive05_xboxboxboxart_160h.jpg;Sports;Xbox PS2 GCN PC;Electronic;ESPN NFL 2K5;Tony Hawk's American Wasteland;Dead or Alive Xtreme Beach Volleyball;Forza Motorsport;Steel Battalion;NFL Head Coach;Halo 2;Halo: Combat Evolved;Fable
6123;Starglider;;Flight;CPC C64 Amiga ZX PC ST;Rainbird;ATF;Codename Mat II -- Mission: Alien Termination;Gunship;Codename Mat II -- Mission: Alien Termination;Death Sword;Death Sword;The Vindicator;Death Stalker;1942
6124;Star League Baseball;;Sports;C64;Gamestar;4th & Inches;WWF WrestleMania;European Champions;Archon: The Light and the Dark;James Bond 007;Ghetto Blaster;;;
6125;Pocket Aargon;;Puzzle;PDA Palm;Twilight;Toki Tori;Merriam-Webster Crossword Puzzles and Word Challenges;Complex;Toki Tori;Explode Arena;EverQuest for Pocket PC: War on Faydwer;;;
6126;Starglider;;Flight;PC C64 Amiga CPC Apple-II ST;Rainbird;Star Citizen;Microsoft Flight;Damage Inc. Pacific Squadron WWII;Star Citizen;Need for Speed Most Wanted;Lords of the Fallen;Far Cry 4;Dark Souls II;Wolfenstein: The New Order
6127;Magical Drop;;Puzzle;Saturn GBC Wii WS PS3 Vita SNES PS;Data;Baku Baku;Bubble Symphony;Puzzle Bobble 2X;Need for Speed;Sonic The Fighters;Mobile Suit Gundam Side Story: The Blue Destiny;;;
6128;Steel Battalion;http://xboxmedia.ign.com/xbox/image/object/481/481366/635506boxart_160h.jpg;Action;Xbox;Capcom;Fable;Grand Theft Auto: San Andreas;Beyond Good & Evil;Forza Motorsport;NBA Live 2005;NFL Head Coach;Halo 2;Halo: Combat Evolved;Fable
6129;Super-Action Football;;Sports;Coleco;Coleco;Rocky;Decathlon;Julius Erving vs. Larry Bird One-on-One Basketball;Antarctic Adventure;Mouse Trap;Looping;;;
6130;Magical Drop;;Puzzle;SNES GBC Wii WS PS3 Vita Saturn PS;Data;Mario is Missing!;Kirby's Avalanche;Picross NP Vol. 8;Super Mario World;The Legend of Zelda: A Link to the Past;Super Mario Kart;;;
6131;Starglider;;Flight;ST C64 Amiga CPC Apple-II PC;Rainbird;Falcon;B-17 Flying Fortress: World War II Bombers in Action;Top Gun [1987];Death Sword;Ballistix;Top Gun [1987];Xenon;Phantasie II;The New Zealand Story
6132;Magical Drop;http://assets1.ignimgs.com/2014/04/17/ps-button-magical-dropjpg-9aa6a8_160h.jpg;Puzzle;PS GBC Wii WS PS3 Vita Saturn SNES;SNK;One Piece Mansion;Wheel of Fortune [1998];Shanghai: True Valor;Crash Team Racing;Hot Shots Golf 2;One Piece Mansion;Final Fantasy VII;Final Fantasy VIII;Metal Gear Solid
6133;Decathlon (Activision Version);;Sports;Coleco;Activision;Rocky;Super-Action Football;Julius Erving vs. Larry Bird One-on-One Basketball;Antarctic Adventure;Mouse Trap;Looping;;;
6134;Aaargh!;;Action;C64 IIGS;Melbourne;Archon: The Light and the Dark;James Bond 007;Ghetto Blaster;Archon: The Light and the Dark;James Bond 007;Ghetto Blaster;;;
6135;NFL Head Coach;http://pcmedia.ign.com/pc/image/object/776/776736/nflheadcoach_xboxboxboxart_160h.jpg;Sports;Xbox PC PS2;Electronic;ESPN NFL 2K5;Tony Hawk's American Wasteland;Dead or Alive Xtreme Beach Volleyball;Forza Motorsport;NBA Live 2005;Steel Battalion;Halo 2;Halo: Combat Evolved;Fable
6136;Dragon Ball Z 3: Ressen Jinzou Ningen;;RPG;NES WS;Bandai;Final Fantasy;Dragon Warrior;Dragon Warrior IV;The Legend of Zelda;Super Mario Bros. 3;Super Mario Bros.;;;
6137;Robotron: 2084;;Shooter;C64 Xbox 7800 5200 Arcade Cell Xbox 360 400/800 Lynx;Atarisoft;Dan Dare II: Mekon's Revenge;Turrican;Turrican II: The Final Fight;Archon: The Light and the Dark;James Bond 007;Ghetto Blaster;;;
6138;Asteroids [1992];http://pocketmedia.ign.com/pocket/image/object/856/856333/606153boxart_160h.jpg;Action;GB Arcade 2600 Cell 2600 400/800;Accolade;The Legend of Zelda: Link's Awakening;Metroid II: Return of Samus;Home Alone;Pokemon Blue Version;Pokemon Red Version;Pokemon Yellow: Special Pikachu Edition;;;
6139;Beyond Zork;;Adventure;IIGS PC ST Mac Amiga Apple-II;Infocom;Leisure Suit Larry: In the Land of the Lounge Lizards;Aaargh!;Alien Mind;Arkanoid;;;;;
6140;Rainbow Islands: Putty's Party;;Action;WS Saturn CPC ST C64 TG16 Mac PS Arcade Gen SMS GB GBC ZX Amiga Cell PC NDS NES;Bandai;Dragon Ball;Mega Man & Bass;Ganso JaJaMaru-kun;Dragon Ball;Mega Man & Bass;Tane-o-Maku Tori;;;
6140;3D Multiplayer Pool;;Sports;Web;Independent;Action AllStars;Tiger Woods PGA Tour Online;World Golf Tour;Offensive Combat;Battle Pirates;Outernauts;;;
6142;Zeppelin;;Shooter;400/800;Synapse;Defender;River Raid;Gyruss;Ninja;Wizard's Crown;Donkey Kong;;;
6143;Cavern Cobra;;Shooter;IIGS;PBI;Alien Mind;Crystal Quest;Aaargh!;Alien Mind;Arkanoid;;;;
6144;John Madden Football;;Sports;Apple-II Amiga PC;Electronic;Computer Quarterback;Computer Quarterback: Second Edition;Micro League Baseball;Softporn Adventure;Apple Adventure;Spectre VR;;;
6145;Ganso JaJaMaru-kun;;Action;WS;Jaleco;Dragon Ball;Mega Man & Bass;Rainbow Islands: Putty's Party;Dragon Ball;Mega Man & Bass;Tane-o-Maku Tori;;;
6146;Crystal Quest;http://media.ign.com/games/image/object/569/569777/crystalquest_APPLEboxart_160h.jpg;Shooter;IIGS GB Palm PDA Cell Xbox 360 iPhone;Casady;Alien Mind;Cavern Cobra;Aaargh!;Alien Mind;Arkanoid;;;;
6147;Gods;http://codesmedia.ign.com/codes/image/object/010/010053/605260boxart_160h.jpg;Action;SNES GBA PC Gen;Mindscape;The Legend of Zelda: A Link to the Past;Chrono Trigger;Super Metroid;Super Mario World;The Legend of Zelda: A Link to the Past;Super Mario Kart;;;
6148;John Madden Football;http://pcmedia.ign.com/pc/image/object/666/666540/616829boxart_160h.jpg;Sports;PC Amiga Apple-II;Electronic;The Golf Club;FIFA Soccer 13;Pro Evolution Soccer 2013;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
6149;TV Sports Football;http://pcmedia.ign.com/pc/image/object/855/855577/642362boxart_160h.jpg;Sports;PC TG16;Cinemaware;The Golf Club;FIFA Soccer 13;Pro Evolution Soccer 2013;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
6150;Seastalker;;Adventure;C64 PC 400/800;Infocom;Labyrinth: The Computer Game;Hacker;Alternate Reality: The City;Archon: The Light and the Dark;James Bond 007;Ghetto Blaster;;;
6151;John Barnes European Football;;Sports;CD32 Amiga;Buzz;Sensible Soccer;Summer Olympix;Nick Faldo's Championship Golf;UFO: Enemy Unknown;Sabre Team;Mean Arenas;;;
6152;Gods;http://pcmedia.ign.com/pc/image/object/725/725189/612561boxart_160h.jpg;Action;PC SNES GBA Gen;Bitmap;Dark Souls II;Alien: Isolation;Assassin's Creed III;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
6153;Ganbare! Golf Boys;;Sports;TG16;NCS;TV Sports Football;Super Volleyball;Cyber Dodge;Air Zonk;Blazing Lazers;Military Madness [1990];;;
6154;Seastalker;;Adventure;PC C64 400/800;Infocom;Thief;Daylight;Murdered: Soul Suspect;Far Cry 4;Dark Souls II;Wolfenstein: The New Order;;;
